"item_name","user_name","hours","user_id","item_id","rating"
"7 Days to Die",87201181,0.9,1989,1,0.09375
"7 Days to Die",264626784,1,7835,1,0.114583333333333
"7 Days to Die",83497449,23,1850,1,0.65625
"7 Days to Die",86733992,9.1,1972,1,0.46875
"7 Days to Die",95084569,1.3,2272,1,0.145833333333333
"7 Days to Die",47457723,0.2,797,1,0
"7 Days to Die",22301321,0.6,281,1,0.0625
"7 Days to Die",138482130,38,3763,1,0.770833333333333
"7 Days to Die",159800136,17.2,4536,1,0.604166666666666
"7 Days to Die",105384518,4,2627,1,0.25
"7 Days to Die",131940023,371,3554,1,0.979166666666665
"7 Days to Die",173453295,3.2,5068,1,0.229166666666667
"7 Days to Die",27171538,1,354,1,0.114583333333333
"7 Days to Die",156071982,1,4388,1,0.114583333333333
"7 Days to Die",137846274,0.5,3735,1,0.0520833333333333
"7 Days to Die",77665527,57,1678,1,0.843749999999999
"7 Days to Die",134967717,1.6,3648,1,0.166666666666667
"7 Days to Die",164475918,6.7,4723,1,0.385416666666667
"7 Days to Die",130547869,137,3511,1,0.927083333333332
"7 Days to Die",87040683,7.1,1983,1,0.416666666666667
"7 Days to Die",161139120,87,4596,1,0.906249999999999
"7 Days to Die",30440303,5.4,425,1,0.302083333333333
"7 Days to Die",51085779,9.1,900,1,0.46875
"7 Days to Die",161759944,11.2,4628,1,0.5
"7 Days to Die",150789931,13.1,4208,1,0.520833333333333
"7 Days to Die",243522372,2.2,7374,1,0.1875
"7 Days to Die",88525821,15.3,2033,1,0.5625
"7 Days to Die",164318687,6.4,4719,1,0.34375
"7 Days to Die",221694858,52,6823,1,0.812499999999999
"7 Days to Die",96400571,14.6,2325,1,0.541666666666667
"7 Days to Die",49228258,15.1,838,1,0.552083333333333
"7 Days to Die",49893565,5.4,867,1,0.302083333333333
"7 Days to Die",58481977,29,1102,1,0.708333333333333
"7 Days to Die",164761364,31,4739,1,0.718749999999999
"7 Days to Die",195171884,336,5903,1,0.968749999999999
"7 Days to Die",190022459,2.5,5719,1,0.208333333333333
"7 Days to Die",239413586,5.2,7236,1,0.28125
"7 Days to Die",129925351,55,3484,1,0.833333333333332
"7 Days to Die",59825286,164,1150,1,0.947916666666665
"7 Days to Die",66229356,7.4,1342,1,0.427083333333333
"7 Days to Die",135400225,34,3660,1,0.739583333333333
"7 Days to Die",175447188,33,5147,1,0.729166666666666
"7 Days to Die",21061921,65,264,1,0.854166666666666
"7 Days to Die",166863117,16.9,4820,1,0.59375
"7 Days to Die",196595568,16.8,5956,1,0.583333333333333
"7 Days to Die",165755355,8.6,4779,1,0.458333333333333
"7 Days to Die",159994178,72,4549,1,0.874999999999999
"7 Days to Die",106147454,27,2657,1,0.687499999999999
"7 Days to Die",244445520,0.4,7395,1,0.0416666666666667
"7 Days to Die",83625754,417,1857,1,0.989583333333332
"7 Days to Die",67492611,19.7,1374,1,0.635416666666666
"7 Days to Die",121497634,10.8,3183,1,0.489583333333333
"7 Days to Die",59945701,7.8,1155,1,0.4375
"7 Days to Die",220602833,6.9,6798,1,0.395833333333333
"7 Days to Die",19696244,34,250,1,0.739583333333333
"7 Days to Die",94161846,42,2235,1,0.781249999999999
"7 Days to Die",172518437,1.4,5040,1,0.15625
"7 Days to Die",168732483,15.8,4899,1,0.572916666666667
"7 Days to Die",176929122,26,5198,1,0.677083333333333
"7 Days to Die",77830706,72,1683,1,0.874999999999999
"7 Days to Die",114727578,2,2952,1,0.177083333333333
"7 Days to Die",33622085,4.8,491,1,0.270833333333333
"7 Days to Die",186673066,619,5582,1,0.999999999999999
"7 Days to Die",10599862,0.3,129,1,0.03125
"7 Days to Die",133439936,0.2,3605,1,0
"7 Days to Die",43913966,6.4,701,1,0.34375
"7 Days to Die",80363319,6.3,1754,1,0.333333333333333
"7 Days to Die",9180659,6.2,108,1,0.322916666666667
"7 Days to Die",36546868,0.8,551,1,0.0833333333333333
"7 Days to Die",142650116,0.6,3922,1,0.0625
"7 Days to Die",17414305,160,221,1,0.937499999999999
"7 Days to Die",32102983,5.3,457,1,0.291666666666667
"7 Days to Die",37829487,12.2,581,1,0.510416666666667
"7 Days to Die",92107940,99,2154,1,0.916666666666666
"7 Days to Die",190675881,36,5741,1,0.760416666666666
"7 Days to Die",104727643,6.6,2606,1,0.375
